Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
20:19 (+1),IC 2275,Dresden Hbf (an 22:27),Berlin Gesundbrunnen
20:23,RE 3634,Perleberg (an 22:51),Berlin Gesundbrunnen
20:24 (+9),RE 3355,Lutherstadt Wittenberg Hbf (an 21:56),Berlin Gesundbrunnen
20:39 (+2),RE 3318,Stralsund Hbf (an 23:41),Berlin Gesundbrunnen
20:40,RE 52832,Berlin Südkreuz (an 20:53),Berlin Gesundbrunnen
20:55 (+6),RE 4366,Rostock Hbf (an 23:28),Berlin Gesundbrunnen
21:06 (+3),RE 4367,Berlin Südkreuz (an 21:21),Berlin Gesundbrunnen
21:16,RB 18275,Potsdam Hbf (an 22:23),Berlin Gesundbrunnen
21:17,RE 52837,Schwerin Hbf (an 23:47),Berlin Gesundbrunnen
21:23 (+4),RE 3317,Berlin Hbf (an 21:27),Berlin Gesundbrunnen
21:39,RE 3328,Angermünde (an 22:34),Berlin Gesundbrunnen
21:39,RE 3359,Angermünde (an 22:34),Berlin Gesundbrunnen
21:55,RE 3520,Neubrandenburg (an 23:29),Berlin Gesundbrunnen
22:05 (+28),RE 3519,Berlin Südkreuz (an 22:20),Berlin Gesundbrunnen
22:19 (+7),IC 495,Wien Hbf (an 10:53),Berlin Gesundbrunnen Bhf
22:19 (+8),IC 495,Wien Hbf (an 10:53),Berlin Gesundbrunnen
22:24 (+6),RE 3357,Lutherstadt Wittenberg Hbf (an 00:01),Berlin Gesundbrunnen
22:38 (+7),RE 3320,Pasewalk (an 00:19),Berlin Gesundbrunnen
22:40,RE 52834,Berlin Südkreuz (an 22:53),Berlin Gesundbrunnen
22:54 (+11),RE 4368,Rostock Hbf (an 01:21),Berlin Gesundbrunnen Bhf
22:54 (+11),RE 4368,Rostock Hbf (an 01:21),Berlin Gesundbrunnen
23:06 (+15),RE 4369,Berlin Südkreuz (an 23:22),Berlin Gesundbrunnen Bhf
23:06 (+30),RE 4369,Berlin Südkreuz (an 23:22),Berlin Gesundbrunnen
23:28 (+30),RE 3319,Lutherstadt Wittenberg Hbf (an 01:03),Berlin Gesundbrunnen
23:28 (+24),RE 3325,Lutherstadt Wittenberg Hbf (an 01:03),Berlin Gesundbrunnen
23:55 (+41),RE 3522,Neubrandenburg (an 01:39),Berlin Gesundbrunnen
