Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
21:42 (+5),ICE 840,Hannover Hbf (an 23:22),Berlin-Spandau
21:47 (+52),ICE 502,Hamburg-Altona (an 00:47),Berlin-Spandau
21:51 (+1),RE 3180,Berlin Hbf (an 22:01),Berlin-Spandau
21:56,RE 3135,Hennigsdorf(b Berlin) (an 22:25),Berlin-Spandau
21:58,RB 18633,Berlin Südkreuz (an 22:23),Berlin-Spandau
21:59 (+20),ICE 609,Berlin Südkreuz (an 22:17),Berlin-Spandau
22:09 (+67),ICE 945,Berlin Ostbahnhof (an 22:36),Berlin-Spandau
22:09 (+67),ICE 955,Berlin Ostbahnhof (an 22:36),Berlin-Spandau
22:19,ICE 2912,Berlin Ostbahnhof (an 22:42),Berlin-Spandau
22:19 Ausfall,ICE 792,Berlin Ostbahnhof (an 22:42),Berlin-Spandau
22:23,RE 62034,Flughafen BER (an 23:15),Berlin-Spandau
22:28 (+1),RB 18274,Berlin Gesundbrunnen (an 22:46),Berlin-Spandau
22:32 (+2),RE 3183,Stendal Hbf (an 23:44),Berlin-Spandau
22:33,RE 3136,Cottbus Hbf (an 00:39),Berlin-Spandau
22:46 (+17),ICE 645,Berlin Ostbahnhof (an 23:15),Berlin-Spandau
22:46 (+17),ICE 655,Berlin Ostbahnhof (an 23:15),Berlin-Spandau
22:49 (+20),ICE 700,Hamburg-Altona (an 01:16),Berlin-Spandau
22:52,RE 3162,Berlin Hbf (an 23:02),Berlin-Spandau
22:56,RE 3137,Hennigsdorf(b Berlin) (an 23:25),Berlin-Spandau
22:58 (+6),RB 18635,Berlin Südkreuz (an 23:18),Berlin-Spandau
23:04,RB 18634,Wustermark (an 23:22),Berlin-Spandau
23:06 (+7),ICE 807,Berlin Südkreuz (an 23:25),Berlin-Spandau
23:16 Ausfall,ICE 274,Berlin Ostbahnhof (an 23:42),Berlin-Spandau
23:16 (+112),ICE 2874,Berlin Ostbahnhof (an 23:42),Berlin-Spandau
23:23,RE 62036,Flughafen BER (an 00:15),Berlin-Spandau
23:33,RE 3138,Cottbus Hbf (an 01:39),Berlin-Spandau
23:33 (+1),RE 3185,Stendal Hbf (an 00:38),Berlin-Spandau
23:45 (+2),ICE 271,Chur (an 11:22),Berlin-Spandau
23:52 (+7),RE 3182,Berlin Hbf (an 00:03),Berlin-Spandau
23:56,RE 3139,Hennigsdorf(b Berlin) (an 00:25),Berlin-Spandau
23:58 (+27),ICE 907,Berlin Südkreuz (an 00:16),Berlin-Spandau
