Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
17:26 (+1),RB 18264,Potsdam Hbf (ab 16:36),Berlin-Spandau
17:28,RB 18267,Berlin Gesundbrunnen (ab 17:12),Berlin-Spandau
17:30 (+5),IC 147,Amsterdam Centraal (ab 12:00),Berlin-Spandau
17:33 (+1),ICE 995,Berlin Hbf (ab 17:23),Berlin-Spandau
17:33,RB 18525,Nauen (ab 17:08),Berlin-Spandau
17:36,RE 62027,Flughafen BER (ab 16:44),Berlin-Spandau
17:45 (+3),ICE 506,München Hbf (ab 12:49),Berlin-Spandau
17:46,ICE 9591,Paris Est (ab 09:55),Berlin-Spandau
17:49 (+7),RE 3176,Stendal Hbf (ab 16:44),Berlin-Spandau
17:54,RE 3127,Cottbus Hbf (ab 16:04),Berlin-Spandau
17:56,RB 18625,Nauen (ab 17:22),Berlin-Spandau
17:58 (+1),ICE 844,Berlin Ostbahnhof (ab 17:32),Berlin-Spandau
17:58 (+1),ICE 854,Berlin Ostbahnhof (ab 17:32),Berlin-Spandau
17:58 (+4),ICE 941,Düsseldorf Hbf (ab 13:43),Berlin-Spandau
17:58 (+4),ICE 951,Köln Hbf (ab 13:45),Berlin-Spandau
18:00,RB 18624,Ludwigsfelde (ab 16:32),Berlin-Spandau
18:02 (+1),RE 3128,Nauen (ab 17:37),Berlin-Spandau
18:07,RE 26117,Jüterbog (ab 17:03),Berlin-Spandau
18:07 (+1),RE 3179,Jüterbog (ab 17:03),Berlin-Spandau
18:10 (+1),ICE 1605,Hamburg Hbf (ab 16:25),Berlin-Spandau
18:10 (+1),ICE 1705,Hamburg Hbf (ab 16:25),Berlin-Spandau
18:13 (+1),ICE 92,Wien Hbf (ab 10:13),Berlin-Spandau
18:21,RE 61999,Wismar (ab 15:24),Berlin-Spandau
18:21 (+1),RE 62026,Wismar (ab 15:24),Berlin-Spandau
18:22,ICE 796,Frankfurt(M) Flughafen Fernbf (ab 14:09),Berlin-Spandau
18:23 (+7),RB 18526,Berlin Südkreuz (ab 18:02),Berlin-Spandau
18:24,ICE 742,Berlin Gesundbrunnen (ab 18:04),Berlin-Spandau
18:27 (+4),RB 18266,Potsdam Hbf (ab 17:36),Berlin-Spandau
18:33,RB 18527,Nauen (ab 18:08),Berlin-Spandau
18:36 (+1),RE 62029,Flughafen BER (ab 17:44),Berlin-Spandau
18:45 (+113),ICE 2920,München Hbf (ab 13:50),Berlin-Spandau
18:45 Ausfall,ICE 706,München Hbf (ab 13:50),Berlin-Spandau
18:50 (+1),RE 3158,Rathenow (ab 18:02),Berlin-Spandau
18:54 (+5),RE 3129,Cottbus Hbf (ab 17:04),Berlin-Spandau
18:56,RB 18627,Nauen (ab 18:27),Berlin-Spandau
18:58 (+10),ICE 542,Berlin Ostbahnhof (ab 18:41),Berlin-Spandau
18:58 (+10),ICE 552,Berlin Ostbahnhof (ab 18:41),Berlin-Spandau
18:58 (+34),ICE 641,Düsseldorf Hbf (ab 14:51),Berlin-Spandau
18:58 (+34),ICE 651,Köln Hbf (ab 14:45),Berlin-Spandau
19:00,RB 18626,Ludwigsfelde (ab 17:39),Berlin-Spandau
19:02,RE 3130,Nauen (ab 18:37),Berlin-Spandau
19:06 (+6),RE 3159,Falkenberg(Elster) (ab 17:14),Berlin-Spandau
19:10 (+9),ICE 803,Hamburg Hbf (ab 17:27),Berlin-Spandau
19:15 (+21),ICE 278,Interlaken Ost (ab 09:59),Berlin-Spandau
19:21 (+1),RE 62028,Wittenberge (ab 18:06),Berlin-Spandau
19:22,RB 18528,Berlin Südkreuz (ab 19:02),Berlin-Spandau
19:26 (+1),RB 18268,Potsdam Hbf (ab 18:36),Berlin-Spandau
19:28 (+1),RB 18271,Berlin Gesundbrunnen (ab 19:17),Berlin-Spandau
19:32 (+31),IC 149,Amersfoort Centraal (ab 14:36),Berlin-Spandau
19:33,ICE 997,Berlin Südkreuz (ab 19:07),Berlin-Spandau
19:33 (+2),RB 18529,Nauen (ab 19:08),Berlin-Spandau
19:36 (+19),RE 62031,Flughafen BER (ab 18:44),Berlin-Spandau
19:45 (+13),ICE 504,München Hbf (ab 14:49),Berlin-Spandau
19:46 (+23),ICE 1034,Saarbrücken Hbf (ab 13:24),Berlin-Spandau
19:49 (+13),RE 3178,Stendal Hbf (ab 18:44),Berlin-Spandau
19:54 (+14),RE 3131,Cottbus Hbf (ab 18:04),Berlin-Spandau
19:56,RB 18629,Nauen (ab 19:22),Berlin-Spandau
19:58 (+3),ICE 872,Berlin Ostbahnhof (ab 19:33),Berlin-Spandau
19:58 (+3),ICE 892,Berlin Ostbahnhof (ab 19:33),Berlin-Spandau
19:58 (+44),ICE 943,Düsseldorf Hbf (ab 15:50),Berlin-Spandau
19:58 (+44),ICE 953,Köln Hbf (ab 15:45),Berlin-Spandau
20:00 (+15),RB 18628,Ludwigsfelde (ab 18:32),Berlin-Spandau
20:02 (+5),RE 3132,Nauen (ab 19:37),Berlin-Spandau
20:07 (+4),RE 3181,Jüterbog (ab 19:03),Berlin-Spandau
20:10 (+20),ICE 1607,Hamburg Hbf (ab 18:31),Berlin-Spandau
20:21 (+2),RE 62030,Wismar (ab 17:24),Berlin-Spandau
20:22 (+2),RB 18530,Berlin Südkreuz (ab 20:02),Berlin-Spandau
20:23,ICE 794,Frankfurt(M) Flughafen Fernbf (ab 16:09),Berlin-Spandau
20:25 (+2),ICE 740,S+U Gesundbrunnen Bhf (ab 20:15),Berlin-Spandau
20:27 (+1),RB 18270,Potsdam Hbf (ab 19:36),Berlin-Spandau
20:28,RB 18273,Berlin Gesundbrunnen (ab 20:06),Berlin-Spandau
20:33 (+3),RB 18531,Nauen (ab 20:08),Berlin-Spandau
20:36 (+2),RE 62033,Flughafen BER (ab 19:44),Berlin-Spandau
20:44,ICE 1279,Berlin Ostbahnhof (ab 20:16),Berlin-Spandau
20:45 (+21),ICE 704,München Hbf (ab 15:13),Berlin-Spandau
20:47 (+2),ICE 643,Düsseldorf Hbf (ab 16:51),Berlin-Spandau
