Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
14:20,RE 62021,Wittenberge (an 15:57),Berlin Hbf
14:23,RE 26107,Cottbus Hbf (an 15:55),Berlin Hbf
14:23,RE 3120,Cottbus Hbf (an 15:55),Berlin Hbf
14:27 (+14),ICE 1601,München Hbf (an 19:03),Berlin Hbf
14:27 (+15),ICE 1711,München Hbf (an 19:03),Berlin Hbf
14:27,RE 51711,Berlin Südkreuz (an 14:33),Berlin Hbf
14:28,FLX 1234,Cologne Central Station (an 19:54),Berlin Hbf
14:32 (+1),ICE 375,Basel SBB (an 21:49),Berlin Hbf
14:32 (+1),RE 3349,Lutherstadt Wittenberg Hbf (an 15:59),Berlin Hbf
14:33 (+1),RE 3312,Stralsund Hbf (an 17:42),Berlin Hbf
14:36 (+1),ICE 800,Hamburg-Altona (an 16:38),Berlin Hbf
14:37,RE 3121,Nauen (an 15:21),Berlin Hbf
14:40 (+1),RE 61998,Flughafen BER (an 15:15),Berlin Hbf
14:40,RE 62018,Flughafen BER (an 15:15),Berlin Hbf
14:41 Ausfall,ICE 992,Berlin Südkreuz (an 14:47),Berlin Hbf
14:41,RE 73777,Berlin-Wannsee (an 14:58),Berlin Hbf
14:46 (+2),RE 3722,Senftenberg (an 16:41),Berlin Hbf
14:48,RB 18519,Berlin Südkreuz (an 14:54),Berlin Hbf
14:49 (+2),ICE 546,Köln Hbf (an 19:36),Berlin Hbf
14:49 (+2),ICE 556,Hannover Hbf (an 16:37),Berlin Hbf
14:52,ICE 692,S+U Gesundbrunnen Bhf (an 14:56),Berlin Hbf
14:55 (+14),ICE 757,Berlin Ostbahnhof (an 15:03),Berlin Hbf
14:57 (+10),EC 174,Flensburg (an 19:07),Berlin Hbf
14:57 (+10),ICE 2913,Frankfurt(Main)Hbf (an 18:56),Berlin Hbf
14:57 Ausfall,ICE 933,Frankfurt(Main)Hbf (an 18:56),Berlin Hbf
14:57 (+3),RE 3155,Rathenow (an 15:55),Berlin Hbf
14:59,RE 73732,Berlin Ostbahnhof (an 15:08),Berlin Hbf
15:01,RE 73737,Magdeburg Hbf (an 16:47),Berlin Hbf
15:02 (+1),ICE 1111,München Hbf (an 19:11),Berlin Hbf
15:06 (+2),RE 3154,Falkenberg(Elster) (an 16:34),Berlin Hbf
15:07 (+4),EC 177,Praha hl.n. (an 19:23),Berlin Hbf
15:12,RB 18520,Nauen (an 15:47),Berlin Hbf
15:14 (+1),RE 3727,Dessau Hbf (an 16:53),Berlin Hbf
15:14,RE 73774,Erkner (an 15:48),Berlin Hbf
15:17 (+1),ICE 799,Fulda (an 18:45),Berlin Hbf
15:20 (+25),ICE 547,Berlin Ostbahnhof (an 15:27),Berlin Hbf
15:20 (+25),ICE 557,Berlin Ostbahnhof (an 15:21),Berlin Hbf
15:20 (+2),ICE 693,Stuttgart Hbf (an 21:26),Berlin Hbf
15:20,RE 62023,Wismar (an 18:37),Berlin Hbf
15:23,RE 3122,Cottbus Hbf (an 16:55),Berlin Hbf
15:30,FLX 1235,Dresden Hbf (an 17:29),Berlin Hbf
15:30 (+2),ICE 709,München Hbf (an 20:42),Berlin Hbf
15:31 (+1),IC 2034,Emden Hbf (an 21:38),Berlin Hbf
15:31 (+1),RE 3350,Schwedt(Oder) (an 16:56),Berlin Hbf
15:33 (+24),ICE 2932,Berlin Ostbahnhof (an 15:42),Berlin Hbf
15:33 (+46),ICE 372,Berlin Ostbahnhof (an 15:42),Berlin Hbf
15:35 (+1),RE 3311,Jüterbog (an 16:26),Berlin Hbf
15:37 (+5),RE 3123,Nauen (an 16:21),Berlin Hbf
15:38 (+6),ICE 508,Hamburg-Altona (an 17:40),Berlin Hbf
15:39 (+4),ICE 1072,Ostseebad Binz (an 19:29),Berlin Hbf
15:39,RE 51072,Prenzlau (an 17:03),Berlin Hbf
15:40,RE 62020,Flughafen BER (an 16:15),Berlin Hbf
15:41,RE 52986,Berlin-Wannsee (an 15:58),Berlin Hbf
15:41,RE 73779,Brandenburg Hbf (an 16:38),Berlin Hbf
15:46 (+1),ICE 846,Mönchengladbach Hbf (an 20:42),Berlin Hbf
15:46 (+1),ICE 856,Köln Hbf (an 20:41),Berlin Hbf
15:46 (+3),RE 3724,Senftenberg (an 17:41),Berlin Hbf
15:47,RB 18521,Berlin Südkreuz (an 15:54),Berlin Hbf
15:50,RB 18160,Berlin-Charlottenburg (an 15:58),Berlin Hbf
15:55 (+4),IC 145,Berlin Ostbahnhof (an 16:02),Berlin Hbf
15:57 (+1),ICE 1131,Frankfurt(Main)Hbf (an 19:56),Berlin Hbf
15:57 (+5),RE 3177,Stendal Hbf (an 17:14),Berlin Hbf
15:59,RE 73734,Erkner (an 16:30),Berlin Hbf
16:01,RE 73739,Magdeburg Hbf (an 17:47),Berlin Hbf
16:01,RE 92478,Berlin-Wannsee (an 16:20),Berlin Hbf
