Abfahrt,Zugnr.,nach (Ankunft),Gleis
11:20 (+4),ICE 543,Berlin Ostbahnhof (an 11:28),12
11:20 (+4),ICE 799,Karlsruhe Hbf (an 17:19),14
11:22,RB 21865,Berlin Südkreuz (an 11:29),
11:22 (+5),RE 3308,Stralsund Hbf (an 14:44),6
11:24 (+1),RE 73770,Brandenburg Hbf (an 12:19),13
11:27 (+6),ICE 1102,Berlin Gesundbrunnen (an 11:31),5
11:27 (+2),ICE 599,München Hbf (an 19:12),4
11:27 (+1),RE 62015,Elstal (an 11:53),7
11:28,RJ 175,Sturovo (an 21:24),
11:32 (+1),RE 3347,Berlin Südkreuz (an 11:39),2
11:36 (+16),ICE 1507,München Hbf (an 15:43),4
11:36 (+23),ICE 2865,Fulda (an 21:54),4
11:37 (+29),ICE 2808,Hamburg-Altona (an 14:24),6
11:37 (+29),ICE 602,Hamburg-Altona (an 14:24),6
11:37,RE 73765,Frankfurt(Oder) (an 12:43),12
11:38 (+15),IC 2270,Rostock Hbf (an 13:37),5
11:42,ICE 378,Berlin Ostbahnhof (an 11:50),11
11:42,RE 62012,Berlin Südkreuz (an 11:49),2 A - D
11:46 (+1),ICE 940,Köln Hbf (an 16:33),14
11:46 (+1),RE 3510,Stralsund Hbf (an 14:51),6
11:46 (+5),RE 3716,Berlin Ostbahnhof (an 11:56),12
11:47 (+1),RB 62062,Berlin-Spandau (an 11:59),7
11:51 Ausfall,ICE 707,München Hbf (an 16:42),3
11:52 (+1),EC 47,Warszawa Wschodnia (an 17:15),11
11:52,RB 21869,Berlin Südkreuz (an 11:59),
11:55 (+27),ICE 141,Berlin Ostbahnhof (an 12:02),12
11:55,RE 3173,Stendal Hbf (an 13:30),7
11:57 (+17),FLX 1239,Stuttgart Hbf (an 17:42),4
11:59 (+1),RE 73725,Frankfurt(Oder) (an 13:18),11
12:00,RB 18512,Lübbenau(Spreewald) (an 13:15),2
12:01 (+1),RE 73730,Magdeburg Hbf (an 13:50),14
12:02 (+9),ICE 1135,Frankfurt(M) Flughafen Regionalbf (an 16:20),6
12:02 (+10),ICE 1162,Berlin Gesundbrunnen (an 12:06),5
12:04 (+9),ICE 1138,Berlin Südkreuz (an 12:09),3
12:07 (+1),ICE 144,Amsterdam Centraal (an 18:00),13
12:07,RE 3170,Jüterbog (an 12:54),2
12:12 (+24),ICE 802,Berlin Gesundbrunnen (an 12:16),6
12:14,RB 62063,Berlin Südkreuz (an 12:21),1
12:14 (+5),RE 3509,Berlin Südkreuz (an 12:23),4
12:15 (+1),RE 3721,Dessau Hbf (an 13:53),13
12:20 (+13),ICE 845,Berlin Ostbahnhof (an 12:28),11
12:22,RB 21873,Berlin Südkreuz (an 12:29),
12:23 (+1),RE 3348,Schwedt(Oder) (an 13:55),6
12:24,RE 62017,Elstal (an 12:49),7 D - G
12:24,RE 73772,Brandenburg Hbf (an 13:19),13
