Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
19:47,RE 73787,Brandenburg Hbf (an 20:38),Berlin Zoologischer Garten
19:53,RE 73742,Frankfurt(Oder) (an 21:05),Berlin Zoologischer Garten
20:08,RE 73747,Magdeburg Hbf (an 21:47),Berlin Zoologischer Garten
20:08,RE 73784,Frankfurt(Oder) (an 21:31),Berlin Zoologischer Garten
20:17 (+6),RE 3132,Vetschau (an 21:42),Berlin Zoologischer Garten
20:17,RE 92332,Lübbenau(Spreewald) (an 21:32),Berlin Zoologischer Garten
20:20 (+21),RE 3737,Dessau Hbf (an 21:53),Berlin Zoologischer Garten
20:26,RE 62033,Elstal (an 20:52),Berlin Zoologischer Garten
20:28,RE 73826,Fürstenwalde(Spree) (an 21:24),Berlin Zoologischer Garten
20:33,RE 62030,Flughafen BER (an 21:15),Berlin Zoologischer Garten
20:36 (+6),ICE 879,Kassel-Wilhelmshöhe (an 23:12),Berlin Zoologischer Garten Zoologischer 
20:36,ICE 879,Kassel-Wilhelmshöhe (an 23:12),Berlin Zoologischer Garten
20:40 (+15),RE 3734,Berlin Ostbahnhof (an 20:56),Berlin Zoologischer Garten
20:42,RE 92333,Berlin-Spandau (an 20:52),Berlin Zoologischer Garten
20:47,RE 73789,Brandenburg Hbf (an 21:39),Berlin Zoologischer Garten
20:53,RE 73744,Frankfurt(Oder) (an 22:05),Berlin Zoologischer Garten
21:07,RE 73749,Magdeburg Hbf (an 22:47),Berlin Zoologischer Garten
21:08,RE 73786,Frankfurt(Oder) (an 22:31),Berlin Zoologischer Garten
21:12 (+24),ICE 643,Berlin Ostbahnhof (an 21:28),Berlin Zoologischer Garten Zoologischer 
21:12 (+26),ICE 643,Berlin Ostbahnhof (an 21:28),Berlin Zoologischer Garten
21:20,RE 3739,Dessau Hbf (an 22:52),Berlin Zoologischer Garten
21:22,RE 73828,Eisenhüttenstadt (an 23:00),Berlin Zoologischer Garten
21:26,RE 62035,Berlin-Charlottenburg (an 21:28),Berlin Zoologischer Garten
21:31 (+11),ICE 840,Hannover Hbf (an 23:22),Berlin Zoologischer Garten
21:33,RE 62032,Flughafen BER (an 22:15),Berlin Zoologischer Garten
21:40 (+17),RE 3736,Lübbenau(Spreewald) (an 23:04),Berlin Zoologischer Garten
21:46,IC 241,Berlin Ostbahnhof (an 22:02),Berlin Zoologischer Garten
21:47,RE 73791,Möser (an 23:21),Berlin Zoologischer Garten
21:53,RE 33830,Frankfurt(Oder) (an 23:15),Berlin Zoologischer Garten
21:53,RE 73746,Frankfurt(Oder) (an 23:15),Berlin Zoologischer Garten
22:08,RE 73788,Berlin Ostbahnhof (an 22:24),Berlin Zoologischer Garten
22:21 (+42),ICE 2813,Berlin Ostbahnhof (an 22:36),Berlin Zoologischer Garten
22:21 (+51),ICE 945,Berlin Ostbahnhof (an 22:36),Berlin Zoologischer Garten
22:21 Ausfall,ICE 955,Berlin Ostbahnhof (an 22:36),Berlin Zoologischer Garten
22:22 (+16),ICE 955,Berlin Ostbahnhof (an 22:36),Berlin Zoologischer Garten Zoologischer 
22:25 (+31),EC 40,Berlin-Charlottenburg (an 22:28),Berlin Zoologischer Garten
