Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
08:58 (+11),09:09,ICE 936,Ostseebad Binz (an 12:29),6
09:04 (+1),09:05,ICE 652,Köln Hbf (an 14:09),7
09:04,09:04,RB 18506,Lübbenau(Spreewald) (an 10:14),1
09:05,09:05,ICE 837,Frankfurt(Main)Hbf (an 12:56),
09:13 (+19),09:32,ICE 541,Berlin Südkreuz (an 09:18),2
09:15 (+3),09:18,RE 4355,Berlin Südkreuz (an 09:24),3
09:20 (+1),09:21,RE 62011,Wittenberge (an 10:56),5
09:22,09:22,RE 3306,Stralsund Hbf (an 12:44),6
09:27 (+13),09:40,ICE 1104,Berlin Gesundbrunnen (an 09:31),5
09:27 (+7),09:34,ICE 2587,München Hbf (an 17:16),1
09:27 (+7),09:34,ICE 2889,München Hbf (an 17:16),4
09:27 (+7),09:34,ICE 597,München Hbf (an 17:16),4
09:28 (+82),10:50,EC 173,Praha hl.n. (an 13:25),3
09:28 (+82),10:50,RJ 173,Praha hl.n. (an 13:25),3
09:32,09:32,RE 3345,Luckenwalde (an 10:27),2
09:36 (+4),09:40,ICE 1505,München Hbf (an 13:43),4
09:37 (+5),09:42,ICE 604,Hamburg Hbf (an 11:24),6
09:43,09:43,RE 62008,Baruth(Mark) (an 10:36),2
09:46,09:46,RE 3508,Grimmen (an 12:29),6
09:47 (+1),09:48,ICE 942,Düsseldorf Hbf (an 14:08),7
09:47 (+1),09:48,ICE 952,Köln Hbf (an 14:22),7
09:54,09:54,RE 3171,Stendal Hbf (an 11:13),8
09:55 (+1),09:56,ICE 91,Nürnberg Hbf (an 13:30),3
09:57 (+92),11:29,FLX 1237,Berlin Südkreuz (an 10:02),4
10:07,10:07,RB 18508,Lübbenau(Spreewald) (an 11:15),1
10:14 (+1),10:15,RE 3507,Berlin Südkreuz (an 10:24),4
10:15 (+28),10:43,ICE 843,Berlin Südkreuz (an 10:20),3
10:15 (+28),10:43,ICE 853,Berlin Südkreuz (an 10:20),1
10:16,10:16,ICE 146,Amsterdam Centraal (an 16:04),
10:19 (+1),10:20,FLX 1234,Hamburg-Bergedorf (an 12:11),5
10:22,10:22,RB 21857,Flughafen BER (an 10:45),1
10:23 (+1),10:24,RE 3346,Schwedt(Oder) (an 11:55),6
10:25 (+1),10:26,RE 62013,Wismar (an 13:37),8
10:26 (+27),10:53,ICE 1604,Berlin Gesundbrunnen (an 10:31),5
10:27,10:27,ICE 29001,Lutherstadt Wittenberg Hbf (an 11:08),
10:27 (+30),10:57,ICE 507,München Hbf (an 15:06),3
10:34 (+8),10:42,ICE 2596,Hamburg Hbf (an 12:26),5
10:34 (+8),10:42,ICE 696,Hamburg Hbf (an 12:26),5
10:35,10:35,EC 47,Warszawa Wschodnia (an 17:15),
10:37 (+4),10:41,ICE 1007,München Hbf (an 14:46),4
10:37 (+8),10:45,ICE 373,Chur (an 20:22),7
10:37,10:37,RB 21859,Flughafen BER (an 11:00),1
10:40,10:40,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2 A - D
10:44 (+8),10:52,RE 62010,Elsterwerda (an 12:31),2 D - G
10:46,10:46,RB 20232,Enschede (an 22:27),6
10:46,10:46,RE 4356,Enschede (an 22:27),6
10:47 (+4),10:51,ICE 640,Düsseldorf Hbf (an 15:11),7
10:52,10:52,RB 21861,Berlin Südkreuz (an 10:59),
10:54 (+2),10:56,RE 3151,Berlin-Spandau (an 11:04),
10:58 (+18),11:16,ICE 934,Ostseebad Binz (an 14:29),6
11:04 (+4),11:08,ICE 650,Köln Hbf (an 16:09),7
11:04,11:04,RB 18510,Lübbenau(Spreewald) (an 12:15),1
11:05 (+6),11:11,ICE 839,Frankfurt(Main)Hbf (an 14:56),4
11:09,11:09,RE 3150,Berlin Südkreuz (an 11:15),
11:14 (+2),11:16,RE 4357,Berlin Südkreuz (an 11:23),4
11:20 (+4),11:24,RE 62015,Wittenberge (an 12:56),5
11:22,11:22,RB 21865,Berlin Südkreuz (an 11:29),
11:22,11:22,RE 3308,Stralsund Hbf (an 14:44),6
11:27 (+6),11:33,ICE 1102,Berlin Gesundbrunnen (an 11:31),5
11:27 (+28),11:55,ICE 2589,München Hbf (an 19:12),4
11:27 (+29),11:56,ICE 599,München Hbf (an 19:12),4
11:28 (+1),11:29,EC 175,Budapest-Nyugati (an 22:28),3
11:28 (+1),11:29,RJ 175,Budapest-Nyugati (an 22:28),3
11:32 (+4),11:36,RE 3347,Luckenwalde (an 12:27),2
11:35,11:35,EC 57,Przemyśl Główny (an 22:48),
11:37 (+16),11:53,ICE 1507,München Hbf (an 15:43),4
11:37 (+3),11:40,ICE 602,Hamburg Hbf (an 13:24),6
11:37,11:37,RB 21867,Berlin Südkreuz (an 11:44),
11:41,11:41,RE 62012,Baruth(Mark) (an 12:35),2
11:46,11:46,RE 3510,Neustrelitz Hbf (an 12:59),
11:47 (+1),11:48,ICE 940,Düsseldorf Hbf (an 16:07),7
11:47 (+1),11:48,ICE 950,Köln Hbf (an 16:21),7
11:52 (+92),13:24,ICE 1162,Berlin Gesundbrunnen (an 11:56),5
11:55,11:55,RE 3173,Stendal Hbf (an 13:13),
