Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
21:03,FEX19864,Wünsdorf-Waldstadt (ab 19:49),Berlin Hbf (tief)
21:06 (+2),RB 18631,Nauen (ab 20:18),Berlin Hbf (tief)
21:10,RB 18532,Berlin Südkreuz (ab 21:03),Berlin Hbf (tief)
21:12,RE 62083,Baruth(Mark) (ab 20:08),Berlin Hbf (tief)
21:16 (+69),FLX 1246,Stuttgart Hbf (ab 15:29),Berlin Hbf (tief)
21:22 (+2),ICE 2929,Bad Schönborn Süd (ab 03:52),Berlin Hbf (tief)
21:22 (+1),ICE 699,Hamburg-Altona (ab 19:19),Berlin Hbf (tief)
21:26 (+6),RE 3317,Stralsund Hbf (ab 18:17),Berlin Hbf (tief)
21:26 (+1),RE 3356,Ludwigsfelde (ab 20:56),Berlin Hbf (tief)
21:29 (+46),ICE 2902,München Hbf (ab 16:55),Berlin Hbf (tief)
21:29 (+46),ICE 502,München Hbf (ab 16:55),Berlin Hbf (tief)
