Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
20:56 (+1),RE 3161,Rathenow (an 21:56),Berlin Hbf (tief)
21:03 (+4),ICE 704,Hamburg-Altona (an 23:21),Berlin Hbf (tief)
21:03 (+7),RE 3160,Ludwigsfelde (an 21:28),Berlin Hbf (tief)
21:08 (+4),RB 18631,Berlin Südkreuz (an 21:15),Berlin Hbf (tief)
21:12,RB 18532,Nauen (an 21:50),Berlin Hbf (tief)
21:26,ICE 2929,Erfurt Hbf (an 23:38),Berlin Hbf (tief)
21:33 (+1),RE 3317,Ludwigsfelde (an 22:05),Berlin Hbf (tief)
21:33,RE 3356,Schwedt(Oder) (an 22:58),Berlin Hbf (tief)
21:42,RE 62086,Elsterwerda (an 23:39),Berlin Hbf (tief)
21:48 (+1),RB 18533,Berlin Südkreuz (an 21:56),Berlin Hbf (tief)
21:56,FEX19877,Flughafen BER - Terminal 1-2 (an 22:32),Berlin Hbf (tief)
21:56,RB 18337,Wünsdorf-Waldstadt (an 23:12),Berlin Hbf (tief)
21:56,RE 3183,Rathenow (an 22:53),Berlin Hbf (tief)
22:01 (+1),IC 2277,Leipzig Hbf (an 23:58),Berlin Hbf (tief)
22:04 (+1),RE 3180,Ludwigsfelde (an 22:31),Berlin Hbf (tief)
22:14 (+1),ICE 502,Hamburg-Altona (an 00:34),Berlin Hbf (tief)
22:18 (+1),RB 18534,Nauen (an 22:52),Berlin Hbf (tief)
22:31 (+1),RE 3357,Ludwigsfelde (an 23:02),Berlin Hbf (tief)
22:33 (+1),RE 3320,Pasewalk (an 00:19),Berlin Hbf (tief)
22:44,RE 62088,Baruth(Mark) (an 23:50),Berlin Hbf (tief)
22:54 (+12),ICE 700,Hamburg-Altona (an 01:14),Berlin Hbf (tief)
23:04 (+1),RE 3185,Stendal Hbf (an 00:20),Berlin Hbf (tief)
23:17,RB 18537,Berlin Südkreuz (an 23:27),Berlin Hbf (tief)
23:32,RE 3358,Eberswalde Hbf (an 00:13),Berlin Hbf (tief)
